*Code,Report Code,*Name,Reporting Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,ASS.CUR.CAS,Account 2,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,ANZ AU CC 456480XXXXXX7147,,Bank,BAS Excluded,,No,No,No,
100,ASS.CUR.CAS,East to West Plant Services,,Bank,BAS Excluded,,No,No,No,
101,ASS.CUR.CAS,East to West Plant services GST  64689,,Bank,BAS Excluded,,No,No,No,
200,REV,Sales,,Revenue,GST on Income,Income from any normal business activity,No,No,No,
260,REV.OTH,Other Revenue,,Revenue,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
261,REV.OTH,Copper Scraps,,Revenue,GST on Income,Copper sold off,No,No,No,
262,REV,Retention Income,,Revenue,GST on Income,record NSW retention amounts withheld,No,No,No,
263,REV.OTH,Sponsorship Income,,Other Income,GST Free Income,Visa subsidy reimbursement - Government of WA Training and Workforce Development,No,No,No,
265,REV.OTH,Gain on disposal of asset,,Other Income,BAS Excluded,,No,No,No,
266,REV.OTH,Work cover payments,,Other Income,BAS Excluded,,No,No,No,
267,REV,Loan Forgiveness,,Other Income,GST on Income,,No,No,No,
270,REV.OTH,Interest Income,,Revenue,GST Free Income,Interest income,No,No,No,
280,REV.OTH,Fuel tax credit income,,Revenue,BAS Excluded,Fuel tax credits put in BAS each quarter - goverment rebate,No,No,No,
290,REV.OTH,Cash boost stimulus,,Other Income,BAS Excluded,,No,No,No,
310,EXP.COS,Cost of Goods Sold,,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,No,No,
312,EXP.COS,Contractors incl GST,,Direct Costs,GST on Expenses,Contractors registered for GST,No,No,No,
314,EXP.COS,Contractors GST free,,Direct Costs,GST Free Expenses,Contractors without GST,No,No,No,
315,EXP.COS,Hire costs,,Direct Costs,GST on Expenses,,No,No,No,
316,EXP.COS,Fuel for machines,,Direct Costs,GST on Expenses,,No,No,No,
318,EXP.COS,Materials,,Direct Costs,GST on Expenses,,No,No,No,
3181,EXP.COS,Safety Costs,,Direct Costs,GST on Expenses,Safety costs,No,No,No,
319,EXP.COS,Site Consultants,,Direct Costs,GST on Expenses,,No,No,No,
3195,EXP.COS,Subscriptions Trackers,,Direct Costs,GST on Expenses,,No,No,No,
3196,EXP.COS,Training and tickets,,Direct Costs,GST on Expenses,Staff training & tickets,No,No,No,
